Case5;Case6;Case7;Case8;Case9;Case10;Actual;Triples
1;1;1;1;1;1;1;influenza caused virus
1;1;1;1;1;1;1;effect achieved way
1;1;1;1;1;1;1;viruses caused infections
1;1;1;1;1;1;0;blisters appear herpes simplex virus
1;1;1;1;1;1;0;blisters caused herpes simplex virus
1;1;1;1;1;1;0;circuit comprises converter
1;1;1;1;1;1;0;Roundworms caused parasite
1;1;1;1;0;1;1;subject imply implication
1;1;1;1;1;0;0;talent emanated village
1;1;1;1;1;1;0;narrative comprises interplay
1;1;1;1;1;1;1;murders result conviction
1;1;1;1;1;1;1;vibrations caused movement
1;1;1;1;1;1;0;regulations entered force
1;1;1;1;1;1;0;clubs falling ownership
1;1;1;1;1;1;0;station receives device
1;1;1;1;1;1;1;spills caused hurricane
1;1;1;1;1;1;1;diseases caused gene mutations
1;1;1;1;1;1;1;response caused ripple
1;1;1;1;1;1;0;air filled smell
1;1;1;1;1;1;1;receiver outputting tone
1;1;1;1;1;1;0;speech criticised idea
1;1;1;1;1;1;0;Asteroid threatened disaster
1;1;1;1;1;1;0;tales concerning concerns
1;1;1;1;1;1;0;documents troubling strategies
1;1;1;1;1;1;0;implications indicated publication
1;1;1;1;0;0;0;model derived example
1;1;1;1;1;1;0;analyzer identifies method
1;1;1;1;0;1;0;analyzer using method
1;1;1;1;1;1;1;Rain caused cancellation
1;0;1;1;1;0;0;containers fell dam
1;1;1;1;1;1;1;crash caused attack
1;1;1;1;1;1;0;Conditions criticised report
1;1;1;1;1;1;0;sound captures combination
1;1;1;1;1;0;0;drilling threatens chemicals
1;0;1;0;1;0;0;information came press release
1;1;1;1;1;1;1;damage caused misuse
1;1;1;1;1;1;1;airstrike resulted explosions
1;1;1;1;1;1;0;Barrages make energy
1;1;1;1;1;1;1;conflict caused wastewater
1;1;1;1;1;1;0;car using engine
1;1;1;1;1;1;1;damage caused tornado
1;1;1;1;1;1;0;downturn made people
1;1;1;1;1;1;0;activation done source
1;1;1;1;1;1;0;article explains difficulties
1;1;1;1;0;1;1;colors caused dispersion
1;1;1;1;1;0;0;articles identified promotion
1;1;1;1;1;1;0;question raised announcement
1;1;1;1;1;1;1;pain caused strains
1;1;1;1;1;1;0;storm moving town
1;1;1;1;1;1;1;damage caused earthquake
1;0;1;1;0;0;0;Air blown mouthpiece
1;1;1;1;1;1;1;misinterpretation caused word
1;1;1;1;1;1;1;damage caused bombing
1;1;1;1;1;1;1;death caused tsunami
1;1;1;1;1;1;1;leakage caused person
1;1;1;1;1;1;1;fear suffered stab
1;1;1;1;1;1;1;fear caused stab
1;1;1;1;1;1;0;topic came discussion
1;1;1;1;1;1;1;suffering caused embargo
1;1;1;1;1;1;0;attacker killed instrument
1;0;1;1;0;0;0;company mocked version
1;1;1;1;1;1;1;anger caused abuse
1;1;1;1;1;1;0;advertising inform selections
1;0;1;1;1;1;0;leaflet informing qualities
1;1;1;1;1;1;1;strike resulted death
1;0;1;0;1;0;0;album completed singer
1;1;1;1;1;1;1;fear caused power
1;1;1;1;1;1;1;Tides caused gravitational pull
1;1;1;1;1;1;1;Stroke leading death
1;1;1;1;1;1;1;pain caused torment
1;1;1;1;1;1;0;community eluded positions
1;1;1;1;1;1;1;distraction caused incident
1;1;1;1;1;1;1;distraction coupled incident
1;1;1;1;1;1;1;light radiating friend
1;1;1;1;1;1;1;entrapments resulted suffocation
1;1;1;1;1;1;1;Storms lead losses
1;1;1;1;1;1;0;laws applying war
1;1;1;1;1;1;0;cross removed site
1;1;1;1;1;1;0;lighting rendering works
1;1;1;1;1;1;0;Discussion took function
1;1;1;1;1;0;0;document sets facts
1;1;1;1;1;1;0;document established levels
1;1;1;1;1;1;0;answer grows trend
1;1;1;1;1;1;0;programme consider happiness
1;1;1;1;1;1;1;devastation caused waves
1;1;1;1;1;0;0;Noise regulations come force
1;1;1;1;1;1;1;Cancer causes illness
1;1;1;1;1;1;1;Inhalation fumes irritation
1;1;1;1;1;1;1;Inhalation produces irritation
1;1;1;1;1;1;0;seminar gave system
1;1;1;1;1;1;1;noise caused powertrain
1;1;1;1;1;1;1;pandemic caused infection
1;1;1;1;1;1;0;evidence arose results
1;1;1;1;0;0;0;law covering registration
1;1;1;1;1;1;1;tsunami triggered earthquake
1;1;1;1;1;1;1;ulcer caused stress
1;1;1;1;1;1;1;Recessions caused excess demand
1;0;1;0;0;0;0;boom hinged fitting
1;1;1;1;1;1;1;recession triggered collapse
1;1;1;1;1;1;1;Lesions caused leg weakness
1;1;1;1;1;1;1;suffering caused bomb
1;1;1;1;1;1;1;death caused cancellation
1;1;1;1;1;1;1;problems ensued policy
1;1;1;1;1;1;1;incoming water caused stain
1;1;1;1;1;1;1;bleeding caused injury
1;1;1;1;1;1;1;effect lighting light
1;1;1;1;1;1;1;crisis caused jobless rate
1;1;1;1;1;0;1;corruption triggered utilities
1;1;1;1;1;1;1;creatures caused scare
1;1;1;1;1;1;1;ban caused debate
1;1;1;1;1;1;0;report giving activities
1;1;1;1;0;1;1;experience ensued blend
1;1;1;1;1;1;1;spill caused tanker
1;1;1;1;1;1;1;damage caused collision
1;1;1;1;1;1;0;dopamine causes depression
1;1;1;1;1;1;1;turbines generate electricity
1;1;1;1;1;1;1;suffering caused exploitation
1;1;1;1;1;1;0;mechanism composed magnet
1;1;1;1;1;1;1;riots bashing verdict
1;1;1;1;1;1;0;problems pointed study
1;1;1;1;1;0;0;weather report informed storm conditions
1;0;1;1;1;1;1;election caused appointment
1;1;1;1;1;0;1;wind swirling draft
1;1;1;1;1;1;1;wind caused draft
1;1;1;1;1;1;1;expansion resulted movements
1;1;1;1;1;0;0;Highways falling disrepair
1;0;1;1;1;0;0;exploration moving waters
1;1;1;1;1;1;1;Infectious diseases caused parasites
1;1;1;1;1;1;1;interaction arose layers
1;1;1;1;1;1;0;chemical produced gland
1;1;1;1;1;1;1;crisis caused cost
1;1;1;1;1;1;1;crisis escalating cost
1;1;1;1;1;1;1;injuries caused fireworks
1;1;1;1;1;1;1;injuries obtained fireworks
1;1;1;1;1;1;0;relationship thrown chaos
1;1;1;1;1;1;1;Alcohol cause suicide
1;1;1;1;1;0;1;disturbances required erosion
1;1;1;1;1;1;1;disturbances build erosion
1;1;1;1;1;1;1;disturbances lead erosion
1;1;1;1;1;1;0;Considerations concerned cases
1;0;1;1;1;0;0;wheels revolutionized grinding
1;1;1;1;0;0;0;rule driven approach
1;0;1;1;1;0;0;promises made leaders
1;1;1;1;1;1;1;deleveraging triggered crisis
1;1;1;1;1;1;1;dizziness caused injury
1;0;1;0;0;0;0;water put tank
1;1;1;1;1;1;1;virus caused pandemic
1;1;1;1;1;1;0;team prevailed brilliance
1;1;1;1;1;1;1;burns caused liquids
1;1;1;1;1;1;0;idiot pulls motion
1;1;1;1;1;1;1;flooding caused cyclone
1;1;1;1;1;1;1;Fog caused delays
1;0;1;1;1;0;0;administration established centres
1;1;1;1;1;1;0;model developed event
1;1;1;1;1;1;1;process caused stricture
1;1;1;1;1;1;1;suffering caused crisis
1;1;1;1;1;1;1;infection caused fungus
1;1;1;1;1;1;1;Tonsillitis caused micro-organisms
1;1;1;1;1;1;1;Hiccups caused spasm
1;1;1;1;1;0;0;electricity produced biomass
1;1;1;1;1;1;1;Landslides caused deaths
1;1;1;1;1;1;1;humiliation comes people
1;0;1;1;1;1;0;exhibition sustained contacts
1;1;1;1;1;1;1;visit caused sensation
1;1;1;1;1;0;1;voltage instigates reaction
1;1;1;1;1;1;1;controversy arose assignment
1;1;1;1;1;1;0;dispute concerning interpretation
1;1;1;1;1;1;0;Dioxide released atmosphere
1;1;1;1;1;1;1;abuse resulted swelling
1;1;1;1;1;1;0;fire originated area
1;1;1;1;1;1;1;harm caused quake
1;1;1;1;1;1;1;fungi cause disease
1;1;1;1;1;1;1;clashes resulted deaths
1;1;1;1;1;1;1;clashes including deaths
1;1;1;1;1;1;0;evidence came study
1;0;1;0;1;0;0;log- jam pending cases
1;1;1;1;1;1;1;bloodshed caused growth
1;1;1;1;1;1;1;anxiety caused accident
1;0;1;1;1;0;0;company eluded obligations
1;1;1;1;1;1;1;energy going source
1;1;1;1;0;0;1;acne caused cosmetics
1;1;1;1;1;1;1;light radiating face
1;1;1;1;1;1;1;noise caused resistors
1;0;1;1;1;0;1;noise biasing resistors
1;1;1;1;1;1;0;damage caused reconstruction
1;1;1;1;1;1;1;dust produces irritation
1;1;1;1;1;1;0;crisis originated sector
1;1;1;1;1;1;0;hormone produced gland
1;1;1;1;1;1;1;weight caused collapse
1;1;1;1;1;1;1;explosion triggered blast
1;1;1;1;1;1;1;sadness leads fear
1;1;1;1;1;1;1;flu include chills
1;1;1;1;1;1;1;blaze triggered fault
1;1;1;1;1;1;0;debris caused fire
1;1;1;1;1;1;1;flu cause stress
1;1;1;1;1;1;1;flu increases stress
1;1;1;1;1;1;1;accident resulted death
1;1;1;1;1;1;0;technique consists laser
1;0;1;1;1;1;0;technique heating laser
1;1;1;1;1;1;0;report supplying motives
1;1;1;1;1;1;1;Acne caused oily skin
1;1;1;1;0;1;1;dirt cause acne
1;1;1;1;1;1;1;rainbows caused refraction
1;1;1;1;1;1;1;storm caused cancellation
1;1;1;1;1;1;1;harm caused flood
1;1;1;1;1;1;0;work explored themes
1;0;1;1;1;0;1;batteries provide power
1;1;1;1;1;1;0;proclamation declares flu
1;1;1;1;1;1;0;Rumors leaked public
1;1;1;1;1;1;1;complications resulted deaths
1;1;1;1;1;1;0;pilots flown trouble
1;1;1;1;1;1;1;steam produced combustion
1;1;1;1;1;1;1;Lesions affecting hemiparesis
1;1;1;1;1;1;1;Lesions sparing hemiparesis
1;1;1;1;1;1;1;Lesions caused hemiparesis
1;0;1;1;1;0;0;transformer driven shield
1;1;1;1;1;0;0;article explores impulsivity
1;0;1;1;0;1;0;projects landing markets
1;1;1;1;1;1;1;congestion caused delays
1;0;1;1;0;1;0;term derived metaphor
1;1;1;1;0;0;0;bastard face velocity
1;1;1;1;1;0;1;plasma generated discharge
1;1;1;1;1;1;0;dust collected caisson
1;0;1;1;1;0;0;cocaine constricted pressure
1;1;1;1;1;1;0;cocaine increased pressure
1;1;1;1;1;0;1;spike caused glitch
1;1;1;1;1;1;1;outbreak caused vaccine
1;1;1;1;1;1;0;ads inform dangers
1;1;1;1;1;1;1;impact caused slit
1;1;1;1;0;0;0;effort gone development
1;1;1;1;1;1;0;bomb killed bin
1;1;1;1;1;1;1;drop caused recession
1;1;1;1;1;1;1;pandemic caused virus
1;1;1;1;1;1;0;processes ) acids
1;1;1;1;1;1;0;term originates expression
1;0;1;1;1;0;0;gases emanated sources
1;1;1;1;1;1;1;Acne caused irritants
1;1;1;1;1;1;1;Sadness leads dissatisfaction
1;1;1;1;1;1;1;sounds made species
1;1;1;1;1;1;1;system generating power
1;1;1;1;1;1;0;excerpt revolved theme
1;1;1;1;1;1;1;crash caused meteor
1;1;1;1;1;1;0;day thrown chaos
1;1;1;1;1;1;1;Swine flu leading disease
1;1;1;1;1;1;0;Lasers using wavelengths
1;1;1;1;1;1;1;devastation caused flooding
1;1;1;1;1;1;1;ticks caused discomfort
1;1;1;1;1;1;0;letter contained dispute
1;1;1;1;1;1;1;raid resulted crisis
1;0;1;1;1;1;1;scheme establishing access
1;1;1;1;1;1;1;tension caused fighting
1;1;1;1;1;1;1;stress caused battles
1;1;1;1;1;1;1;devastation caused fire
1;1;1;1;1;1;1;storm generated cold front
1;1;1;1;1;1;0;guide outlines issues
1;0;1;1;0;0;0;Scientists given warning
1;1;1;1;1;1;1;destruction caused war
1;1;1;1;1;1;1;accident caused snarl
1;1;1;1;1;1;1;injury caused person
1;0;1;1;1;0;0;words flowed curate
1;1;1;1;1;0;1;Pressure walking friction
1;0;1;1;0;0;0;world created process
1;1;1;1;1;1;1;floods caused rains
1;1;1;1;1;1;1;beam generated emission
1;1;1;1;1;1;1;devastation caused waste
1;1;1;1;1;1;1;devastation includes waste
1;1;1;1;1;1;0;Information gained test
1;0;1;1;1;0;0;producer required machinery
1;1;1;1;1;1;1;damage caused industry
1;1;1;1;1;1;0;phrase originates argument
1;1;1;1;1;1;1;disorders caused drinking
1;1;1;1;0;1;0;conference started debate
1;1;1;1;1;1;0;rain come downtown
1;1;1;1;1;1;0;statement revealed departure
1;1;1;1;1;1;0;hall fell disuse
1;1;1;1;1;1;1;devastation caused tsunami
1;1;1;1;1;1;0;power supply derived power-pack
1;1;1;1;1;1;1;coalition established activities
1;1;1;1;1;1;1;crisis caused blockade
1;1;1;1;1;1;1;blast caused mishandling
1;1;1;1;1;1;1;shortages mounting riots
1;1;1;1;1;1;0;ion derived acid
1;1;1;1;1;1;1;noise triggered quake
1;1;1;1;1;1;0;Products fallen disuse
1;0;1;1;1;1;0;lectures summarised thoughts
1;1;1;1;1;1;0;generator creates principle
1;1;1;1;1;1;0;generator using principle
1;1;1;1;1;1;1;delays caused governments
1;1;1;1;1;1;1;illness caused bacteria
1;0;1;1;1;1;0;article narrates experiences
1;1;1;1;1;1;0;system composed glands
1;1;1;1;1;1;1;tsunami resulted displacement
1;0;1;1;1;0;1;shot caused wound
1;1;1;1;1;1;0;company landed trouble
1;1;1;1;1;1;1;Acne caused hormonal imbalance
1;1;1;1;1;1;0;discussion made concept
1;0;1;1;0;1;0;teaching experience involves anecdotes
1;0;1;1;1;1;0;teaching experience telling anecdotes
1;1;1;1;1;1;1;disorders caused mutation
1;1;1;1;1;1;1;Power generated reaction
1;1;1;1;1;1;1;storm generated upwelling
1;1;1;1;1;1;0;article pointed problems
1;1;1;1;0;0;0;title derived quip
1;1;1;1;1;1;1;disaster caused hurricane
1;1;1;1;1;1;0;bomb dropped region
1;1;1;1;1;1;0;methods described publication
1;1;1;1;1;1;1;energy caused posters
1;1;1;1;1;1;0;efforts invested objective
1;1;1;1;1;1;1;explosion caused crater
1;1;1;1;1;1;1;damage caused aircraft
1;0;1;1;1;1;0;sound came structure
1;0;1;1;1;1;1;accident cause power outage
1;1;1;1;1;1;0;crisis spreading economy
1;1;1;1;1;1;1;damage caused virus
1;1;1;1;1;1;0;criticism commented weaknesses
1;0;1;0;1;0;0;life related movie
1;1;1;1;1;1;0;cow touched nuzzle
1;0;1;1;1;0;0;tools sped process
1;1;1;1;1;1;1;damage caused earthquakes
1;1;1;1;1;1;1;abscess caused infection
1;0;1;1;1;0;0;act promotes limitation
1;0;1;1;1;1;0;basin sunk depression
1;1;1;1;1;1;1;electrical short caused fire
1;1;1;1;1;1;1;events caused dissolution
1;1;1;1;1;1;1;contamination caused residues
1;1;1;1;1;1;1;Asthma causes narrowing
1;1;1;1;1;1;1;Asthma swelling narrowing
1;1;1;1;1;1;0;request arrived firm
1;0;1;1;1;0;0;air pressed lungs
1;1;1;1;1;1;1;incident caused entry
1;0;1;1;0;0;0;name originated times
1;1;1;1;1;1;1;imbalance caused torque
1;1;1;1;1;1;1;fear triggered death
1;1;1;1;1;1;0;singer demonstrates song
1;1;1;1;1;0;0;design evolved work
1;1;1;1;1;1;1;devastation caused earthquake
1;1;1;1;1;1;1;rash caused fungal imbalance
1;1;1;1;1;1;0;boys dragged fighting
1;1;1;1;1;1;0;show offers discussion
1;1;1;1;1;1;1;Tsunamis caused displacement
1;1;1;1;1;1;1;irritants cause coughing
1;1;1;1;1;1;0;speech known problems
1;1;1;1;1;1;1;decline caused collapse
1;1;1;1;1;1;0;resource documenting results
1;0;1;0;0;1;0;system contains antennas
1;1;1;1;1;1;1;announcement caused stir
1;1;1;1;1;0;0;guard scowling look
1;1;1;1;1;1;1;deformation caused filling
1;1;1;1;1;1;1;breakdown caused war
1;1;1;1;1;1;0;remark came person
1;1;1;1;1;1;1;ulcers caused infectious agent
1;1;1;1;1;1;1;inconvenience caused fence
1;0;1;0;0;0;0;sweetcorn produced cobs
1;1;1;1;1;1;1;clot caused seizure
1;1;1;1;0;1;0;population fell peak
1;1;1;1;1;1;0;data derived study
1;1;1;1;1;1;1;struggle caused disturbance
1;1;1;1;1;1;0;trio lit blaze
1;1;1;1;1;1;1;incidents resulted injuries
1;1;1;1;1;1;1;wind caused fire
1;1;1;1;1;1;1;wind catch fire
1;1;1;1;1;1;1;complication arose irradiation
1;1;1;1;0;0;0;word derived term
1;1;1;1;1;1;1;bombing resulted deaths
1;1;1;1;1;1;1;error caused tags
1;1;1;1;1;1;1;winds caused moisture
1;1;1;1;1;1;1;drag caused atmosphere
1;1;1;1;1;1;1;flooding caused clogging
1;1;1;1;1;1;0;compilation governed considerations
1;1;1;1;1;1;1;incidents resulted poisonings
1;0;1;0;1;0;0;money handed custody
1;1;1;1;1;0;0;issues addressed myth
1;1;1;1;1;1;1;sadness leads murder
1;1;1;1;1;1;1;light emanated table-lamp
1;0;1;1;0;0;0;remnants left storm
0;1;0;0;0;0;0;song composed musician
0;1;1;1;0;1;1;treaty establishes rule
0;1;1;1;0;0;0;News programs commented violence
0;1;0;1;0;1;0;family supporting features
0;1;1;1;0;0;0;method clearing combination
0;1;1;1;0;1;0;comments provided readers
0;1;0;1;0;0;0;father killed bar
0;1;0;0;0;0;0;defendant released custody
0;1;0;1;0;0;0;plant used vehicles
0;1;1;1;0;0;0;squad armed militants
0;1;1;1;0;1;0;organizations manage resources
0;1;1;1;0;1;0;Analysts assess frequency
0;1;1;1;0;0;0;Analysts using frequency
0;1;1;1;0;1;0;posts offending writer
0;1;1;1;0;0;0;roundtables organised keywords
0;1;0;1;0;0;0;song entered contest
0;1;1;1;1;0;1;sound made viper
0;1;1;1;1;0;0;work started end
0;1;1;1;1;1;0;investigations provided evidence
0;1;1;1;0;1;0;technique used combination
0;1;0;1;0;0;0;citizen landed battles
0;1;1;1;0;1;0;story alleging existence
0;1;1;1;0;1;1;hair loss caused stress
0;1;1;0;0;1;0;labor put building
0;1;1;1;1;1;0;discussion focusing violence
0;1;1;1;0;1;0;liberties set laws
0;1;1;1;0;0;0;offers placed catalog
0;1;1;1;1;1;0;aid flowing areas
0;1;1;1;0;1;0;Changes discussed sub-committee
0;1;1;1;1;0;1;dust set alarm
0;1;1;1;1;1;0;signal departs sine
0;1;1;1;0;1;0;oil polluting runoff
0;1;0;1;0;0;0;oil comes runoff
0;1;1;0;0;0;0;skills developed surgery
0;1;1;1;0;0;0;page used terms
0;1;1;1;0;0;0;list prepared records
0;1;1;1;0;1;0;girl journeyed danger
0;1;1;1;1;1;1;pollution caused shipwreck
0;1;1;1;0;1;0;regulation governing access
0;1;1;1;1;1;0;topics placed categories
0;1;1;1;0;0;0;display showing status
0;1;1;1;0;1;0;chapter relates attempts
0;1;1;1;0;1;0;shops produced clocks
0;1;1;1;1;1;1;agreements resulted diversion
0;1;1;1;0;0;0;atmospheric chemistry include acid rain
0;1;1;1;0;0;0;researcher approached categories
0;1;1;1;1;1;0;researcher predetermined categories
0;1;0;0;0;0;0;plague biting insects
0;1;1;1;0;1;1;caterpillars caused disease
0;1;1;1;0;0;0;binder goes trials
0;1;0;1;0;1;0;server identifies identifier
0;1;0;1;0;0;0;server using identifier
0;1;1;1;0;1;0;profiles used teachers
0;1;1;1;0;1;0;Twisters fill creations
0;1;1;1;0;1;0;paper constructed thesis
0;1;1;1;0;0;0;statutes declare policy
0;1;1;1;0;0;0;clauses invented framers
0;1;1;1;0;0;0;project regulate standard
0;1;0;1;0;1;0;body found drum
0;1;1;1;0;0;0;mechanism seated magnet
0;1;1;1;1;1;1;riots triggered verdict
0;1;1;1;0;0;0;results documented films
0;1;1;1;0;1;0;program developed author
0;1;1;1;1;1;0;discussion presented appendix
0;1;1;1;0;1;0;amount placed cylinder
0;1;0;1;0;0;0;people pushed hunger
0;1;0;1;0;1;1;tail caused solar wind
0;1;1;1;0;0;0;journalists become discussion
0;1;1;1;1;1;0;definition made standards
0;1;1;1;0;0;0;definition existing standards
0;1;1;1;0;1;1;illness triggered chickenpox
0;1;1;1;1;1;0;think tank considering issues
0;1;0;1;0;1;0;scientists compiled map
0;1;1;1;0;0;0;dollars put economy
0;1;1;1;0;1;0;controversy centered intelligence
0;1;1;1;0;1;0;members drafted ordinance
0;1;1;1;0;0;1;Methadone gives buzz
0;1;1;1;1;1;0;publication analyzes developments
0;1;1;1;1;1;0;publication interprets developments
0;1;0;1;0;0;0;sessions selected abstracts
0;1;1;1;0;1;1;reproductive toxicity caused nitrite
0;1;1;1;0;1;0;comment made developer
0;1;1;1;0;1;0;talk tackles challenges
0;1;1;1;0;1;0;water evaporated evaporators
0;1;1;1;0;1;0;publications commenting similarities
0;1;0;1;0;0;0;books dealing identification
0;1;1;1;1;0;0;crimes investigated show
0;1;1;1;1;1;0;cook stirs coals
0;1;1;1;0;0;0;script defined index
0;1;1;1;0;0;0;radio informed development
0;1;1;1;0;0;0;researcher started programme
0;1;1;1;0;1;1;monsoons caused change
0;1;0;0;0;1;0;rules regulate behavior
0;1;1;1;0;1;1;damage caused hallucinogens
0;1;1;1;0;1;0;company entered research
0;1;1;0;0;1;0;page carries conventions
0;1;1;1;0;1;0;merger running opposition
0;1;1;1;1;0;0;details revealed interview
0;1;1;1;0;1;0;tree growing woods
0;1;1;1;0;1;0;report assesses degree
0;1;1;1;1;0;0;meeting decided vote
0;1;1;1;1;1;1;rules establish criteria
0;1;1;1;1;1;0;chart produced study
0;1;0;1;0;0;0;timers started event
0;1;1;1;1;1;0;declaration tackle climate change
0;1;1;1;0;1;0;fluid spread body
